hour,distance_km,route_deviation_m,unexpected_stop_s,nearby_safe_zone_count,nearby_police_or_hospital,community_reports_nearby,is_weekend,safety_score,high_risk
2,6.69,77.4,53.8,0,0,2,0,47.5,1
18,4.87,5.7,33.4,1,0,2,0,87.8,0
15,2.19,84.2,38.2,3,0,2,0,78.9,0
10,6.04,0.6,9.6,3,0,0,0,86.8,0
10,0.95,0.3,20.1,0,0,0,1,91.9,0
20,6.26,84.9,27.3,7,0,1,1,88.3,0
2,4.84,2.2,3.9,0,1,0,0,79.8,0
16,1.15,19.2,42.5,3,0,1,1,97.7,0
4,0.91,115.0,8.4,4,0,0,0,64.2,1
2,6.08,2.8,5.2,3,1,0,1,72.5,0
12,2.56,8.3,35.0,1,1,0,0,100.0,0
23,7.15,47.3,31.8,1,1,0,1,61.2,1
17,6.17,243.4,23.9,1,1,2,0,64.0,1
18,5.68,67.9,0.0,3,0,1,0,82.8,0
17,2.45,176.8,15.3,4,0,0,1,89.7,0
18,5.76,171.6,4.2,2,0,2,0,68.7,0
12,7.6,300.5,4.0,3,0,1,0,94.2,0
3,1.01,118.9,42.3,3,0,1,1,63.8,1
20,2.81,71.8,6.8,1,0,1,0,58.5,1
10,2.11,9.3,18.4,3,0,2,0,92.6,0
12,3.33,74.3,8.2,5,1,2,0,100.0,0
8,6.02,49.0,7.5,3,1,2,0,88.7,0
4,3.95,53.3,14.2,6,1,0,0,78.4,0
22,4.69,50.6,4.6,6,0,0,0,78.7,0
18,2.72,100.7,59.0,3,1,0,0,100.0,0
15,1.39,125.3,8.3,2,0,0,1,100.0,0
9,2.36,0.9,41.4,1,0,0,1,98.9,0
19,6.92,27.9,8.7,0,0,1,0,83.4,0
13,4.94,57.5,14.0,2,1,0,0,100.0,0
10,3.21,99.0,0.6,0,0,0,0,79.2,0
10,6.38,56.4,23.0,1,0,0,0,100.0,0
5,0.8,206.3,44.8,4,0,1,0,97.5,0
2,2.25,79.0,39.8,2,0,2,0,51.6,1
13,2.07,16.3,19.3,1,1,0,1,100.0,0
21,7.89,94.4,3.1,1,0,3,0,70.2,0
1,5.74,62.3,19.4,2,1,3,0,52.9,1
20,5.06,33.7,8.0,1,1,0,1,94.2,0
19,0.34,8.7,9.4,3,1,4,1,69.8,0
6,1.72,5.6,44.9,4,1,1,0,100.0,0
15,5.19,11.4,22.3,3,1,1,0,100.0,0
3,3.22,31.1,12.4,3,1,0,0,84.9,0
18,7.42,69.5,73.7,4,1,0,0,100.0,0
16,6.19,113.4,4.3,2,1,0,0,100.0,0
8,3.74,10.5,12.0,3,0,0,0,100.0,0
1,6.07,4.0,3.3,0,0,1,0,33.5,1
23,7.81,19.1,36.1,2,0,1,1,56.2,1
10,3.85,88.6,2.5,4,0,0,1,100.0,0
21,5.25,8.8,46.6,3,0,0,0,92.3,0
16,7.37,83.5,9.8,4,1,0,1,100.0,0
18,2.21,82.2,1.8,0,0,2,0,68.3,0
18,7.13,98.2,4.3,1,1,2,0,87.7,0
4,1.05,22.9,23.2,1,0,1,0,60.4,1
8,5.29,31.1,4.5,1,0,1,0,83.8,0
11,6.33,57.3,8.8,2,1,2,0,97.9,0
11,5.03,386.7,5.8,2,1,1,1,78.3,0
1,4.12,25.5,33.5,5,0,2,0,62.6,1
13,5.05,56.5,18.3,1,0,1,0,93.3,0
3,1.47,164.9,34.4,1,1,0,1,82.3,0
17,1.96,41.7,1.9,2,0,1,0,100.0,0
16,2.38,38.3,7.8,1,0,0,1,97.8,0
22,4.9,24.5,1.7,3,0,1,0,62.8,1
17,3.7,54.7,10.9,2,1,0,0,100.0,0
