hour,distance_km,route_deviation_m,unexpected_stop_s,nearby_safe_zone_count,nearby_police_or_hospital,community_reports_nearby,is_weekend,state,historical_crime_index,safety_score,high_risk
12,7.03,40.7,26.2,2,0,2,1,GUJARAT,0.3111,66.7,0
10,2.19,12.4,8.0,1,1,1,0,MAHARASHTRA,0.5215,78.6,0
1,4.07,31.0,33.2,2,0,0,0,DELHI,0.1935,61.9,0
2,0.53,79.6,0.3,1,0,0,0,TAMIL NADU,0.2086,57.3,0
14,0.37,13.5,55.5,3,0,3,0,RAJASTHAN,0.6835,76.1,0
13,5.73,16.9,11.6,5,1,2,0,PUNJAB,0.103,100.0,0
13,1.21,51.3,9.5,1,0,2,0,KARNATAKA,0.2845,84.3,0
3,4.52,120.8,20.7,1,0,2,1,GUJARAT,0.3111,45.0,1
12,5.66,35.0,12.0,2,0,0,0,RAJASTHAN,0.6835,74.0,0
1,0.55,9.4,167.6,0,0,0,0,MAHARASHTRA,0.5215,39.1,1
3,3.76,9.4,13.7,2,0,1,0,MAHARASHTRA,0.5215,37.4,1
11,5.57,32.6,27.2,0,0,0,0,KERALA,0.3503,82.5,0
14,7.15,219.0,8.4,1,0,1,0,TAMIL NADU,0.2086,62.3,0
15,2.6,172.1,25.8,2,0,0,1,GUJARAT,0.3111,76.9,0
23,7.8,62.6,24.6,1,1,3,0,MAHARASHTRA,0.5215,29.5,1
20,6.8,76.7,28.5,3,0,0,1,UTTAR PRADESH,0.7531,62.7,0
9,5.31,37.5,14.3,1,0,3,1,MADHYA PRADESH,0.5466,49.2,1
18,3.32,102.6,7.1,3,0,2,0,RAJASTHAN,0.6835,59.7,0
2,5.78,7.3,2.1,3,0,0,0,GUJARAT,0.3111,63.5,0
20,6.58,144.6,51.8,2,1,0,0,TAMIL NADU,0.2086,77.6,0
9,2.64,21.3,8.4,2,0,0,0,KARNATAKA,0.2845,100.0,0
18,7.94,108.5,4.3,2,0,2,0,MAHARASHTRA,0.5215,73.2,0
23,7.3,74.1,2.8,5,0,1,0,PUNJAB,0.103,69.6,0
16,4.04,28.6,8.6,1,1,0,1,HARYANA,0.1936,94.8,0
22,5.87,40.2,2.3,5,1,1,0,GUJARAT,0.3111,77.1,0
0,4.33,54.1,3.3,4,1,2,0,UTTAR PRADESH,0.7531,48.2,1
4,6.16,47.0,20.1,1,1,0,1,WEST BENGAL,1.0,45.0,1
15,6.67,164.5,5.5,5,1,0,0,RAJASTHAN,0.6835,99.4,0
12,0.48,70.3,82.7,2,0,0,1,UTTAR PRADESH,0.7531,69.8,0
2,0.91,15.1,19.7,1,1,0,0,TAMIL NADU,0.2086,70.1,0
17,2.89,172.9,21.9,2,0,1,0,KARNATAKA,0.2845,82.2,0
1,7.37,39.4,7.1,2,1,1,0,PUNJAB,0.103,58.4,0
23,3.37,9.6,4.6,3,1,0,0,UTTAR PRADESH,0.7531,51.5,1
3,7.13,9.3,18.8,0,1,0,1,MAHARASHTRA,0.5215,50.6,1
10,3.86,24.5,39.4,2,1,0,0,WEST BENGAL,1.0,98.1,0
19,2.52,0.3,27.9,2,0,1,1,UTTAR PRADESH,0.7531,71.9,0
12,7.23,42.8,10.3,3,0,0,1,RAJASTHAN,0.6835,85.9,0
17,4.62,0.6,11.6,1,0,0,0,WEST BENGAL,1.0,85.7,0
16,3.08,24.1,1.9,2,0,0,0,UTTAR PRADESH,0.7531,100.0,0
22,0.64,33.0,26.9,1,0,0,0,TAMIL NADU,0.2086,63.7,0
11,1.15,31.7,14.2,3,0,1,1,MAHARASHTRA,0.5215,81.3,0
23,1.37,121.8,38.5,1,0,0,0,GUJARAT,0.3111,41.0,1
12,3.11,2.0,5.5,1,1,0,0,TAMIL NADU,0.2086,100.0,0
