hour,distance_km,route_deviation_m,unexpected_stop_s,nearby_safe_zone_count,nearby_police_or_hospital,community_reports_nearby,is_weekend,state,historical_crime_index,safety_score,high_risk
5,4.41,50.1,5.4,1,0,1,0,GUJARAT,0.2592,75.5,0
8,1.87,184.8,32.1,3,0,1,0,MAHARASHTRA,0.3375,82.3,0
20,0.98,82.9,17.0,2,1,2,1,DELHI,0.2655,54.9,1
2,5.94,109.4,3.3,3,1,0,1,TAMIL NADU,0.1505,52.4,1
2,3.26,54.5,5.5,0,1,0,1,RAJASTHAN,0.442,67.6,0
7,6.12,14.4,7.0,6,0,1,1,PUNJAB,0.1003,90.9,0
14,4.06,31.1,9.0,0,0,1,0,KARNATAKA,0.2109,89.0,0
19,6.54,107.8,31.1,3,0,1,1,GUJARAT,0.2592,59.5,0
13,5.99,208.1,23.2,1,1,0,1,RAJASTHAN,0.442,81.8,0
11,6.18,31.0,23.2,1,1,0,0,MAHARASHTRA,0.3375,91.7,0
20,3.61,145.7,34.1,3,0,0,0,MAHARASHTRA,0.3375,61.6,0
4,7.7,1.3,31.5,1,0,0,0,KERALA,0.4749,60.3,0
21,3.42,92.1,6.1,2,0,3,0,TAMIL NADU,0.1505,44.7,1
7,6.41,174.4,9.0,3,1,1,0,GUJARAT,0.2592,100.0,0
6,4.07,24.8,25.6,3,1,0,0,MAHARASHTRA,0.3375,100.0,0
22,2.11,26.0,34.8,0,0,1,0,UTTAR PRADESH,0.3015,39.8,1
15,5.14,121.4,26.7,3,1,0,0,MADHYA PRADESH,0.3,85.5,0
10,3.91,2.5,22.5,3,1,3,0,RAJASTHAN,0.442,82.0,0
7,2.33,45.8,8.8,1,0,0,1,GUJARAT,0.2592,99.7,0
10,3.25,4.8,12.4,3,1,1,0,TAMIL NADU,0.1505,84.1,0
18,1.53,157.4,2.2,1,0,0,1,KARNATAKA,0.2109,83.7,0
3,7.9,1.2,21.9,0,0,0,1,MAHARASHTRA,0.3375,56.5,1
4,5.25,36.1,4.1,2,0,1,1,PUNJAB,0.1003,43.3,1
7,1.64,6.7,41.7,2,0,1,0,HARYANA,0.2359,87.6,0
11,6.19,93.9,1.3,4,1,0,0,GUJARAT,0.2592,100.0,0
19,4.93,82.3,1.8,1,1,0,1,UTTAR PRADESH,0.3015,76.2,0
5,5.86,22.4,22.8,0,1,1,0,WEST BENGAL,1.0,55.7,1
18,4.8,41.5,7.3,2,0,1,0,RAJASTHAN,0.442,83.8,0
21,0.77,1.0,7.6,2,1,1,1,UTTAR PRADESH,0.3015,88.8,0
