STATE/UT,total_crimes,historical_crime_index
WEST BENGAL,61170,1.0
ANDHRA PRADESH,50334,0.8228427557793545
UTTAR PRADESH,46066,0.7530654285060328
RAJASTHAN,41812,0.6835169865611614
MADHYA PRADESH,33436,0.5465781643396658
MAHARASHTRA,31904,0.5215315698263742
ASSAM,26940,0.4403753719386587
KERALA,21428,0.35025994833731156
ODISHA,20952,0.3424778471699964
BIHAR,19672,0.32155118856881276
GUJARAT,19034,0.31112055717228526
KARNATAKA,17406,0.28450446326390477
TAMIL NADU,12762,0.2085799300264853
HARYANA,11844,0.1935715920609489
DELHI,11840,0.1935061962528202
CHHATTISGARH,8416,0.1375273844946539
JHARKHAND,6916,0.11300395644639179
JAMMU & KASHMIR,6644,0.10855704149364026
PUNJAB,6302,0.10296569989863649
TRIPURA,3118,0.05091063662819213
UTTARAKHAND,2110,0.03443089297976
HIMACHAL PRADESH,1812,0.029558905274171925
MANIPUR,578,0.009384298466468299
MEGHALAYA,496,0.00804368439982997
CHANDIGARH,482,0.007814799071379525
ARUNACHAL PRADESH,400,0.0064741850047411965
MIZORAM,398,0.006441487100676846
GOA,320,0.005166268842167217
SIKKIM,136,0.0021580616682470655
A & N ISLANDS,94,0.0014714056828957264
NAGALAND,94,0.0014714056828957264
PUDUCHERRY,92,0.001438707778831377
D & N HAVELI,28,0.0003923748487721937
DAMAN & DIU,16,0.00019618742438609686
LAKSHADWEEP,4,0.0
