STATE/UT,avg_annual_crimes,historical_crime_index
WEST BENGAL,1976.9923664122136,1.0
ANDHRA PRADESH,1487.4074074074074,0.7521832097914409
KERALA,939.5353535353536,0.4748628155711393
RAJASTHAN,874.5436893203884,0.4419655107830095
ASSAM,689.8216560509554,0.34846341166076067
MAHARASHTRA,668.2347826086957,0.3375366264548314
UTTAR PRADESH,597.1122994652407,0.30153604032550885
MADHYA PRADESH,594.0074074074074,0.2999644144624914
DELHI,525.8888888888889,0.2654843670212141
GUJARAT,513.5688622754491,0.25924824927602674
TRIPURA,470.0625,0.23722631650532108
HARYANA,467.3965517241379,0.23587687401850707
ODISHA,437.5783783783784,0.2207835916933121
KARNATAKA,418.13714285714286,0.21094287968623857
BIHAR,363.97333333333336,0.18352638909603952
CHHATTISGARH,346.9491525423729,0.1749091353141385
TAMIL NADU,298.67661691542287,0.1504746738089973
JHARKHAND,210.11851851851853,0.1056485751144924
PUNJAB,199.63503649635035,0.10034207454261239
JAMMU & KASHMIR,188.78378378378378,0.09484941679749614
CHANDIGARH,162.8,0.08169701540865511
UTTARAKHAND,155.5142857142857,0.0780091522595655
HIMACHAL PRADESH,124.33333333333333,0.06222606212869062
GOA,86.13333333333334,0.04289008946071897
MEGHALAYA,60.7,0.03001631359190364
PUDUCHERRY,56.93333333333333,0.02810971244750504
A & N ISLANDS,43.5,0.021310064118366664
MANIPUR,41.127272727272725,0.02010904344574872
MIZORAM,37.24444444444445,0.018143643928701735
D & N HAVELI,20.8,0.00981983952247775
ARUNACHAL PRADESH,20.689655172413794,0.009763985476135894
SIKKIM,19.92,0.009374403502901441
NAGALAND,7.033333333333333,0.00285146542834835
DAMAN & DIU,5.2,0.001923473720897704
LAKSHADWEEP,1.4,0.0
